School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Location ZIP [Public School] 2018-19,School Type [Public School] 2018-19,Charter School [Public School] 2018-19,Magnet School [Public School] 2018-19,Shared Time School [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year
COULTERVILLE JUNIOR HIGH SCHOOL,Illinois,1710980,62237,1-Regular school,2-No,2-No,2-No,52,41,†,32,20,2.97,17.51,171098004584,17
COUNTRY MEADOWS ELEM SCHOOL,Illinois,1721030,60047,1-Regular school,2-No,2-No,2-No,375,75,†,190,185,36.20,10.36,172103003716,17
COUNTRY TRAILS ELEM,Illinois,1707830,60124,1-Regular school,2-No,2-No,2-No,652,69,†,332,320,39.28,16.60,170783005946,17
COUNTRYSIDE ELEM SCHOOL,Illinois,1705050,60010,1-Regular school,2-No,2-No,2-No,398,31,†,197,201,32.30,12.32,170505000189,17
COURTENAY ELEM LANGUAGE ARTS CTR,Illinois,1709930,60640,1-Regular school,2-No,1-Yes,2-No,365,268,†,213,152,33.50,10.90,170993000914,17
COVENTRY ELEM SCHOOL,Illinois,1711350,60014,1-Regular school,2-No,2-No,2-No,583,262,†,289,294,45.92,12.70,171135001359,17
COWDEN-HERRICK GRADE SCHOOL,Illinois,1700176,62431,1-Regular school,2-No,2-No,2-No,145,111,†,78,67,13.82,10.49,170017602401,17
COWDEN-HERRICK JR/SR HIGH SCHOOL,Illinois,1700176,62422,1-Regular school,2-No,2-No,2-No,211,135,112,117,94,18.18,11.61,170017602389,17
CRAB ORCHARD ELEMENTARY SCHOOL,Illinois,1711100,62959,1-Regular school,2-No,2-No,2-No,363,102,†,195,168,19.00,19.11,171110004587,17
CRAB ORCHARD HIGH SCHOOL,Illinois,1711100,62959,1-Regular school,2-No,2-No,2-No,134,58,134,69,65,10.25,13.07,171110001338,17
CRANE MEDICAL PREP HS,Illinois,1709930,60612,1-Regular school,2-No,1-Yes,2-No,428,371,428,140,288,33.00,12.97,170993006260,17
CREATIVE CENTER FOR CHILDREN,Illinois,1730750,61944,1-Regular school,2-No,2-No,2-No,86,40,†,48,38,2.00,43.00,173075001169,17
CREATIVE COMMUNICATIONS ACAD,Illinois,1712420,60409,1-Regular school,2-No,2-No,2-No,185,184,†,95,90,13.00,14.23,171242006230,17
CREEKSIDE ELEM,Illinois,1713710,60123,1-Regular school,2-No,2-No,2-No,555,372,†,282,273,28.95,19.17,171371002887,17
CREEKSIDE ELEMENTARY SCHOOL,Illinois,1731740,60544,1-Regular school,2-No,2-No,2-No,561,253,†,307,254,40.90,13.72,173174004537,17
CREEKSIDE MIDDLE SCHOOL,Illinois,1743330,60098,1-Regular school,2-No,2-No,2-No,782,347,†,402,380,52.50,14.90,174333004328,17
CRESCENT CITY GRADE SCHOOL,Illinois,1700323,60928,1-Regular school,2-No,2-No,2-No,74,20,†,32,42,7.50,9.87,170032305620,17
CRESTON ELEM SCHOOL,Illinois,1711220,60113,1-Regular school,2-No,2-No,2-No,85,36,†,43,42,11.04,7.70,171122001341,17
CRESTWOOD ELEM SCHOOL,Illinois,1730780,61944,1-Regular school,2-No,2-No,2-No,336,110,†,185,151,20.76,16.18,173078004786,17
CRESTWOOD JR HIGH SCHOOL,Illinois,1730780,61944,1-Regular school,2-No,2-No,2-No,151,57,†,77,74,7.24,20.86,173078003200,17
CRETE ELEMENTARY SCHOOL,Illinois,1711250,60417,1-Regular school,2-No,2-No,2-No,392,282,†,204,188,31.00,12.65,171125001343,17
CRETE-MONEE EARLY CHILDHOOD CNTR,Illinois,1711250,60417,1-Regular school,2-No,2-No,2-No,167,89,†,75,92,10.50,15.90,171125005960,17
CRETE-MONEE HIGH SCHOOL,Illinois,1711250,60417,1-Regular school,2-No,2-No,2-No,1434,955,1434,750,684,84.00,17.07,171125001344,17
CRETE-MONEE MIDDLE SCHOOL,Illinois,1711250,60484,1-Regular school,2-No,2-No,2-No,1015,712,†,509,506,83.00,12.23,171125001347,17
CROSBY ELEM SCH,Illinois,1718420,60033,1-Regular school,2-No,2-No,2-No,799,403,†,401,398,61.30,13.03,171842006116,17
CROSSROAD LEARNING CENTER,ILLINOIS,1720280,62650,1-Regular school,2-No,2-No,2-No,2,†,2,2,†,3.00,="0.67",172028006395,17
CROW ISLAND ELEM SCHOOL,Illinois,1742840,60093,1-Regular school,2-No,2-No,2-No,309,3,†,157,152,29.50,10.47,174284004299,17
CROWN ELEM COMM ACD FINE ARTS CTR,Illinois,1709930,60623,1-Regular school,2-No,1-Yes,2-No,212,206,†,101,111,15.00,14.13,170993000678,17
CRYSTAL LAKE CENTRAL HIGH SCHOOL,Illinois,1711370,60014,1-Regular school,2-No,2-No,2-No,1476,415,1476,743,733,85.50,17.26,171137001367,17
CRYSTAL LAKE SOUTH HIGH SCHOOL,Illinois,1711370,60014,1-Regular school,2-No,2-No,2-No,1480,340,1480,804,676,90.17,16.41,171137001368,17
CRYSTAL LAWNS ELEM SCHOOL,Illinois,1731740,60435,1-Regular school,2-No,2-No,2-No,298,126,†,153,145,23.92,12.46,173174003336,17
CUBA ELEM SCHOOL,Illinois,1711400,61427,1-Regular school,2-No,2-No,2-No,178,86,†,84,94,15.90,11.19,171140001371,17
CUBA MIDDLE SCHOOL,Illinois,1711400,61427,1-Regular school,2-No,2-No,2-No,108,52,†,58,50,6.93,15.58,171140001369,17
CUBA SR HIGH SCHOOL,Illinois,1711400,61427,1-Regular school,2-No,2-No,2-No,132,62,132,66,66,11.83,11.16,171140001370,17
CUFFE MATH-SCI TECH ELEM ACADEMY,Illinois,1709930,60620,1-Regular school,2-No,2-No,2-No,301,278,†,153,148,17.00,17.71,170993001183,17
CULLEN ELEM SCHOOL,Illinois,1709930,60628,1-Regular school,2-No,2-No,2-No,200,184,†,116,84,11.00,18.18,170993001194,17
CUMBERLAND ELEM SCHOOL,Illinois,1712120,60016,1-Regular school,2-No,2-No,2-No,294,110,†,163,131,34.60,8.50,171212001463,17
CUMBERLAND ELEM SCHOOL,Illinois,1739090,62468,1-Regular school,2-No,2-No,2-No,439,167,†,233,206,25.20,17.42,173909004855,17
CUMBERLAND HIGH SCHOOL,Illinois,1739090,62468,1-Regular school,2-No,2-No,2-No,269,104,269,147,122,21.99,12.23,173909003966,17
CUMBERLAND MIDDLE SCHOOL,Illinois,1739090,62468,1-Regular school,2-No,2-No,2-No,321,120,†,167,154,16.43,19.54,173909003965,17
CURIE METROPOLITAN HIGH SCHOOL,Illinois,1709930,60632,1-Regular school,2-No,1-Yes,2-No,2895,2562,2895,1490,1405,179.50,16.13,170993001198,17
CURRIER ELEMENTARY SCHOOL,Illinois,1741550,60185,1-Regular school,2-No,2-No,2-No,420,236,†,201,219,31.00,13.55,174155000775,17
CURTIS ELEM SCHOOL,Illinois,1709930,60628,1-Regular school,2-No,2-No,2-No,500,478,†,269,231,30.00,16.67,170993000650,17
CYD LASH ACADEMY,Illinois,1700059,60030,2-Special education school,2-No,2-No,2-No,142,89,98,106,36,25.00,5.68,170005905106,17
CYPRESS ELEM SCHOOL,Illinois,1711520,62923,1-Regular school,2-No,2-No,2-No,121,76,†,59,62,10.27,11.78,171152001372,17
DAHLGREN ELEM SCHOOL,Illinois,1710790,62828,1-Regular school,2-No,2-No,2-No,140,65,†,75,65,10.60,13.21,171079001307,17
DAKOTA ELEMENTARY SCHOOL,Illinois,1711610,61018,1-Regular school,2-No,2-No,2-No,419,148,†,213,206,32.33,12.96,171161001373,17
DAKOTA JR SR HIGH SCHOOL,Illinois,1711610,61018,1-Regular school,2-No,2-No,2-No,378,102,264,190,188,25.84,14.63,171161001374,17
DALEY ELEM ACADEMY,Illinois,1709930,60609,1-Regular school,2-No,2-No,2-No,562,560,†,293,269,36.50,15.40,170993004913,17
DALLAS CITY ELEM SCHOOL,Illinois,1701388,62330,1-Regular school,2-No,2-No,2-No,189,137,†,91,98,18.50,10.22,170138805917,17
DALZELL GRADE SCHOOL,Illinois,1711700,61320,1-Regular school,2-No,2-No,2-No,56,7,†,22,34,6.62,8.46,171170001378,17
DAMIANSVILLE ELEM SCHOOL,Illinois,1711730,62215,1-Regular school,2-No,2-No,2-No,109,31,†,56,53,9.90,11.01,171173001379,17
DAN H PIETRINI ELEM SCHOOL,Illinois,1715780,60131,1-Regular school,2-No,2-No,2-No,281,180,†,149,132,23.05,12.19,171578001888,17
DANIEL BURNHAM ELEM SCHOOL,Illinois,1710200,60804,1-Regular school,2-No,2-No,2-No,868,843,†,425,443,56.25,15.43,171020001238,17
DANIEL WEBSTER MIDDLE SCHOOL,Illinois,1741250,60085,1-Regular school,2-No,2-No,2-No,693,495,†,347,346,37.00,18.73,174125004124,17
DANIEL WRIGHT JR HIGH SCHOOL,Illinois,1723090,60069,1-Regular school,2-No,2-No,2-No,665,10,†,332,333,59.05,11.26,172309002545,17
DANIELLE-JOY PETERSON ELEM SCH,Illinois,1741690,60564,1-Regular school,2-No,2-No,2-No,684,32,†,335,349,38.70,17.67,174169005928,17
DANVILLE HIGH SCHOOL,Illinois,1711790,61832,1-Regular school,2-No,2-No,2-No,1424,926,1424,693,731,86.81,16.40,171179001382,17
DARWIN ELEM SCHOOL,Illinois,1709930,60647,1-Regular school,2-No,2-No,2-No,537,484,†,266,271,29.00,18.52,170993000679,17
DAVENPORT ELEM SCHOOL,Illinois,1714430,61530,1-Regular school,2-No,2-No,2-No,424,125,†,242,182,31.44,13.49,171443001780,17
DAVID L RAHN JR HIGH SCHOOL,Illinois,1730160,61054,1-Regular school,2-No,2-No,2-No,263,105,†,128,135,18.04,14.58,173016005588,17
DAVIE ELEM SCHOOL,Illinois,1703750,62906,1-Regular school,2-No,2-No,2-No,142,92,†,71,71,8.05,17.64,170375000065,17
DAVIS M MAGNET ELEM SCHOOL,Illinois,1709930,60636,1-Regular school,2-No,1-Yes,2-No,236,224,†,111,125,15.00,15.73,170993006006,17
DAVIS N ELEM SCHOOL,Illinois,1709930,60632,1-Regular school,2-No,2-No,2-No,732,728,†,395,337,47.00,15.57,170993000687,17
DAVIS PRIMARY SCHOOL,Illinois,1737170,60174,1-Regular school,2-No,2-No,2-No,375,141,†,183,192,26.00,14.42,173717003852,17
DAWES ELEM SCHOOL,Illinois,1709930,60652,1-Regular school,2-No,2-No,2-No,963,927,†,487,476,60.50,15.92,170993000689,17
DAWES ELEMENTARY SCHOOL,Illinois,1714460,60202,1-Regular school,2-No,2-No,2-No,369,217,†,188,181,33.40,11.05,171446001787,17
DAY TREATMENT,Illinois,1731230,61605,1-Regular school,2-No,2-No,2-No,49,41,20,40,9,10.25,4.78,173123005846,17
DD EISENHOWER HIGH SCH (CAMPUS),Illinois,1706540,60406,1-Regular school,2-No,2-No,2-No,1809,1519,1809,933,876,126.34,14.32,170654000342,17
DE DIEGO ELEM COMMUNITY ACADEMY,Illinois,1709930,60622,1-Regular school,2-No,2-No,2-No,587,523,†,295,292,42.00,13.98,170993000643,17
DEAF/HARD OF HEARING PROGRAM,ILLINOIS,1701392,60452,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,–,–,170139206571,17
DEAF/HARD OF HEARING PROGRAMS,ILLINOIS,1701425,60532,2-Special education school,2-No,2-No,2-No,42,19,†,23,19,12.00,3.50,170142506408,17
DEAN STREET ELEM SCHOOL,Illinois,1743330,60098,1-Regular school,2-No,2-No,2-No,276,109,†,143,133,18.30,15.08,174333004329,17
DECATUR CLASSICAL ELEM SCHOOL,Illinois,1709930,60645,1-Regular school,2-No,1-Yes,2-No,284,44,†,142,142,17.00,16.71,170993000692,17
DEE-MACK HIGH SCHOOL,Illinois,1711880,61755,1-Regular school,2-No,2-No,2-No,341,75,341,176,165,24.39,13.98,171188001434,17
DEE-MACK INTERMEDIATE SCHOOL,Illinois,1711880,61733,1-Regular school,2-No,2-No,2-No,224,64,†,115,109,13.87,16.15,171188001433,17
DEE-MACK PRIMARY/JR HIGH,Illinois,1711880,61755,1-Regular school,2-No,2-No,2-No,471,133,†,257,214,32.57,14.46,171188001435,17
DEER PARK C C ELEM SCHOOL,Illinois,1711910,61350,1-Regular school,2-No,2-No,2-No,76,8,†,45,31,="0.00",†,171191001436,17
DEER PATH ELEM SCHOOL,Illinois,1708730,60013,1-Regular school,2-No,2-No,2-No,464,86,†,253,211,34.50,13.45,170873003137,17
DEER PATH MIDDLE SCH EAST,Illinois,1721750,60045,1-Regular school,2-No,2-No,2-No,388,9,†,205,183,38.64,10.04,172175005830,17
DEER PATH MIDDLE SCH WEST,Illinois,1721750,60045,1-Regular school,2-No,2-No,2-No,452,9,3,219,233,40.03,11.29,172175002449,17
DEERFIELD HIGH SCHOOL,Illinois,1719080,60015,1-Regular school,2-No,2-No,2-No,1635,63,1635,838,797,118.10,13.84,171908002193,17
DEKALB EARLY LRNG AND DEV CTR,ILLINOIS,1712000,60115,1-Regular school,2-No,2-No,2-No,253,138,†,138,115,8.86,28.56,171200006340,17
DEKALB HIGH SCHOOL,Illinois,1712000,60115,1-Regular school,2-No,2-No,2-No,1789,920,1789,935,854,111.56,16.04,171200001449,17
DELACEY FAMILY EDUC CTR,Illinois,1708550,60110,1-Regular school,2-No,2-No,2-No,348,175,†,215,133,23.00,15.13,170855005568,17
DELAND-WELDON ELEM SCHOOL,Illinois,1712030,61882,1-Regular school,2-No,2-No,2-No,115,60,†,59,56,11.12,10.34,171203004600,17
DELAND-WELDON HIGH SCHOOL,Illinois,1712030,61839,1-Regular school,2-No,2-No,2-No,67,37,67,32,35,6.50,10.31,171203001457,17
DELAND-WELDON MIDDLE SCHOOL,Illinois,1712030,61882,1-Regular school,2-No,2-No,2-No,35,19,†,19,16,3.01,11.63,171203001456,17
DELAVAN ELEMENTARY SCHOOL,Illinois,1712060,61734,1-Regular school,2-No,2-No,2-No,278,112,†,153,125,25.25,11.01,171206004601,17
DELAVAN HIGH SCHOOL,Illinois,1712060,61734,1-Regular school,2-No,2-No,2-No,141,37,141,67,74,13.00,10.85,171206001458,17
DELAVAN JR HIGH SCHOOL,Illinois,1712060,61734,1-Regular school,2-No,2-No,2-No,61,28,†,31,30,7.00,8.71,171206004602,17
DELORES MOYE ELEM SCHOOL,Illinois,1729760,62269,1-Regular school,2-No,2-No,2-No,660,158,†,348,312,38.00,17.37,172976005722,17
DELTA LEARNING CENTER,Illinois,1706540,60472,1-Regular school,2-No,2-No,2-No,189,166,189,121,68,20.60,9.17,170654000747,17
DENEEN ELEM SCHOOL,Illinois,1709930,60619,1-Regular school,2-No,2-No,2-No,499,483,†,242,257,24.00,20.79,170993000691,17
DENKMANN ELEM SCHOOL,Illinois,1734410,61201,1-Regular school,2-No,2-No,2-No,411,204,†,228,183,22.89,17.96,173441003526,17
DENNING ELEMENTARY SCHOOL,Illinois,1741580,62896,1-Regular school,2-No,2-No,2-No,488,261,†,281,207,24.00,20.33,174158004166,17
DENNIS EARLY CHILDHOOD CENTER,Illinois,1734510,61102,1-Regular school,2-No,2-No,2-No,354,192,†,185,169,14.00,25.29,173451004969,17
DENNIS ELEM SCHOOL,Illinois,1711850,62522,1-Regular school,2-No,2-No,2-No,471,275,†,251,220,28.66,16.43,171185001399,17
DEPRIEST ELEM SCHOOL,Illinois,1709930,60644,1-Regular school,2-No,2-No,2-No,550,514,†,293,257,38.00,14.47,170993001177,17
DEPUE ELEM SCHOOL,Illinois,1712090,61322,1-Regular school,2-No,2-No,2-No,273,199,†,141,132,20.80,13.13,171209004603,17
DEPUE HIGH SCHOOL,Illinois,1712090,61322,1-Regular school,2-No,2-No,2-No,117,94,117,70,47,11.20,10.45,171209001459,17
DESOTO ELEMENTARY SCHOOL,Illinois,1712150,62924,1-Regular school,2-No,2-No,2-No,201,114,†,95,106,16.50,12.18,171215001472,17
DESTINY PROGRAM,ILLINOIS,1701392,60452,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,–,–,170139206563,17
DETT ELEM SCHOOL,Illinois,1709930,60612,1-Regular school,2-No,2-No,2-No,308,294,†,157,151,20.00,15.40,170993000695,17
DEVELOPMENTAL LEARNING PGM   DLP,Illinois,1700312,60445,2-Special education school,2-No,2-No,2-No,177,108,†,126,51,29.00,6.10,170031205037,17
DEVER ELEM SCHOOL,Illinois,1709930,60634,1-Regular school,2-No,2-No,2-No,741,413,†,365,376,49.00,15.12,170993000698,17
DEVONSHIRE ELEM SCHOOL,Illinois,1736450,60076,1-Regular school,2-No,2-No,2-No,317,171,†,162,155,27.29,11.62,173645003756,17
DEVONSHIRE SCHOOL,Illinois,1713770,60018,1-Regular school,2-No,2-No,2-No,412,225,†,208,204,28.50,14.46,171377001714,17
DEVRY ADVANTAGE ACADEMY HIGH SCHL,Illinois,1709930,60618,1-Regular school,2-No,2-No,2-No,–,124,–,†,†,10.50,†,170993005790,17
DEWEY ELEM ACADEMY OF FINE ARTS,Illinois,1709930,60609,1-Regular school,2-No,1-Yes,2-No,398,385,†,212,186,28.00,14.21,170993000706,17
DEWEY ELEM SCHOOL,Illinois,1714460,60201,1-Regular school,2-No,2-No,2-No,483,139,†,242,241,36.00,13.42,171446001788,17
DIAMOND LAKE ELEM SCHOOL,Illinois,1712210,60060,1-Regular school,2-No,2-No,2-No,291,176,†,150,141,29.00,10.03,171221001474,17
DIEKMAN ELEM SCHOOL,Illinois,1712420,60419,1-Regular school,2-No,2-No,2-No,360,360,†,184,176,21.00,17.14,171242001490,17
DIETERICH ELEM SCHOOL,Illinois,1712240,62424,1-Regular school,2-No,2-No,2-No,326,76,†,166,160,23.00,14.17,171224004604,17
DIETERICH JR/SR HIGH SCHOOL,Illinois,1712240,62424,1-Regular school,2-No,2-No,2-No,194,41,114,102,92,13.00,14.92,171224001477,17
DILLON ELEMENTARY SCHOOL,Illinois,1734350,61071,1-Regular school,2-No,2-No,2-No,275,195,†,152,123,22.25,12.36,173435003521,17
DIMMICK COMM CONS SD 175,ILLINOIS,1701434,61301,1-Regular school,2-No,2-No,2-No,157,31,†,71,86,11.15,14.08,170143406538,17
DIRECTIONS PROGRAM,ILLINOIS,1701425,60540,2-Special education school,2-No,2-No,2-No,22,10,10,8,14,3.00,7.33,170142506411,17
DIRKSEN ELEM SCHOOL,Illinois,1709930,60656,1-Regular school,2-No,2-No,2-No,929,649,†,470,459,48.50,19.15,170993001174,17
DIRKSEN ELEMENTARY SCHOOL,Illinois,1731080,61554,1-Regular school,2-No,2-No,2-No,179,126,†,97,82,11.00,16.27,173108005048,17
DIRKSEN JUNIOR HIGH SCHOOL,Illinois,1720580,60436,1-Regular school,2-No,2-No,2-No,721,716,†,342,379,44.75,16.11,172058002326,17
DISNEY ELEM MAGNET SCHOOL,Illinois,1709930,60613,1-Regular school,2-No,1-Yes,2-No,1520,929,†,784,736,86.50,17.57,170993000709,17
DISNEY II ELEM SCHOOL,Illinois,1709930,60641,1-Regular school,2-No,2-No,2-No,442,144,†,216,226,="0.00",†,170993006036,17
DISNEY II MAGNET HS,Illinois,1709930,60618,1-Regular school,2-No,1-Yes,2-No,711,340,496,367,344,74.50,9.54,170993006250,17
DIST 206 ALTERNATIVE HIGH SCHOOL,Illinois,1706420,60411,1-Regular school,2-No,2-No,2-No,40,35,40,30,10,5.00,8.00,170642004546,17
DISTRICT 7 ALTERNATIVE SCHOOL,Illinois,1713530,62025,1-Regular school,2-No,2-No,2-No,51,30,51,34,17,6.00,8.50,171353005311,17
DISTRICT 99 EARLY CHILDHOOD CTR,ILLINOIS,1710200,60804,1-Regular school,2-No,2-No,2-No,118,3,†,81,37,8.00,14.75,171020006414,17
DIXON ELEM SCHOOL,Illinois,1709930,60619,1-Regular school,2-No,2-No,2-No,561,440,†,271,290,27.00,20.78,170993000710,17
DIXON HIGH SCHOOL,Illinois,1712330,61021,1-Regular school,2-No,2-No,2-No,755,274,754,383,372,43.53,17.34,171233001481,17
DOLAN CTR MARYVILLE FARM CAMPUS,Illinois,1712810,61024,1-Regular school,2-No,2-No,2-No,31,22,11,23,8,8.00,3.88,171281005157,17
DON D SHUTE ELEM SCHOOL,Illinois,1713240,61611,1-Regular school,2-No,2-No,2-No,192,104,†,103,89,15.43,12.44,171324001575,17
DONALD C PARKER EARLY EDUC CENTER,Illinois,1718240,61115,1-Regular school,2-No,2-No,2-No,668,415,†,342,326,38.20,17.49,171824001907,17
DONGOLA ELEMENTARY SCHOOL,Illinois,1712480,62926,1-Regular school,2-No,2-No,2-No,159,114,†,79,80,8.50,18.71,171248004609,17
DONGOLA HIGH SCHOOL,Illinois,1712480,62926,1-Regular school,2-No,2-No,2-No,75,60,75,34,41,7.00,10.71,171248001502,17
DONGOLA JR HIGH SCHOOL,Illinois,1712480,62926,1-Regular school,2-No,2-No,2-No,52,38,†,21,31,2.50,20.80,171248004610,17
DONOVAN ELEM SCHOOL,Illinois,1712510,60931,1-Regular school,2-No,2-No,2-No,128,75,†,68,60,9.45,13.54,171251001503,17
DONOVAN JR HIGH SCHOOL,Illinois,1712510,60931,1-Regular school,2-No,2-No,2-No,67,44,†,36,31,5.50,12.18,171251000818,17
DONOVAN SR HIGH SCHOOL,Illinois,1712510,60931,1-Regular school,2-No,2-No,2-No,89,48,89,41,48,10.40,8.56,171251001504,17
DORE ELEM SCHOOL,Illinois,1709930,60638,1-Regular school,2-No,2-No,2-No,702,344,†,362,340,40.50,17.33,170993000725,17
DORN PRIMARY CENTER,Illinois,1728890,60457,1-Regular school,2-No,2-No,2-No,459,300,†,253,206,29.00,15.83,172889003031,17
DOROTHY SIMON ELEM SCHOOL,Illinois,1742790,61088,1-Regular school,2-No,2-No,2-No,307,12,†,155,152,21.25,14.45,174279004294,17
DORRIS INTERMEDIATE SCH,Illinois,1710650,62234,1-Regular school,2-No,2-No,2-No,988,624,†,497,491,60.84,16.24,171065005632,17
DOUGLAS ELEM SCHOOL,Illinois,1710440,61727,1-Regular school,2-No,2-No,2-No,183,118,†,97,86,12.00,15.25,171044001262,17
DOUGLAS ELEM SCHOOL,Illinois,1705610,62220,1-Regular school,2-No,2-No,2-No,263,169,†,130,133,17.10,15.38,170561000233,17
DOUGLAS ELEMENTARY SCHOOL,ILLINOIS,1732670,61356,1-Regular school,2-No,2-No,2-No,266,126,†,145,121,12.50,21.28,173267006325,17
DOUGLAS SCHOOL,Illinois,1737080,62702,1-Regular school,2-No,2-No,2-No,20,14,†,15,5,17.00,1.18,173708000998,17
DOUGLASS ACADEMY HIGH SCHOOL,Illinois,1709930,60644,1-Regular school,2-No,2-No,2-No,61,52,61,30,31,8.00,7.63,170993005789,17
DR ANDY HALL EARLY EDUC CTR,Illinois,1727340,62864,1-Regular school,2-No,2-No,2-No,316,297,†,162,154,14.64,21.58,172734004393,17
DR BESSIE RHODES-GLOBAL STUDIES,Illinois,1714460,60076,1-Regular school,2-No,2-No,2-No,270,122,†,123,147,28.60,9.44,171446001216,17
DR DONALD WHARTON ELEM SCHOOL,Illinois,1704050,60501,1-Regular school,2-No,2-No,2-No,189,169,†,104,85,14.05,13.45,170405000089,17
DR HOWARD ELEM SCHOOL,Illinois,1709420,61820,1-Regular school,2-No,2-No,2-No,311,184,†,147,164,27.40,11.35,170942000547,17
DR JULIAN ROGUS SCHOOL,Illinois,1738220,60423,1-Regular school,2-No,2-No,2-No,696,41,†,370,326,46.58,14.94,173822004522,17
DR KENNETH M SORRICK SCHOOL,Illinois,1728890,60465,1-Regular school,2-No,2-No,2-No,402,233,†,212,190,20.00,20.10,172889004243,17
DR MAUDE A SANDERS PRIMARY SCHOOL,Illinois,1731230,61604,1-Regular school,2-No,2-No,2-No,419,327,†,213,206,29.00,14.45,173123003294,17
DR ML KING JR LITERARY&FINE ARTS,Illinois,1714460,60201,1-Regular school,2-No,1-Yes,2-No,560,253,†,264,296,51.04,10.97,171446001794,17
DR NICK OSBORNE PRIMARY CENTER,Illinois,1727340,62864,1-Regular school,2-No,2-No,2-No,693,584,†,360,333,42.29,16.39,172734004392,17
DR PRESTON L WILLIAMS JR ELEM SCH,Illinois,1739960,61802,1-Regular school,2-No,2-No,2-No,462,407,†,225,237,38.00,12.16,173996004013,17
DR. ABBY FOX ROONEY ELEM SCH,Illinois,1733000,62305,1-Regular school,2-No,2-No,2-No,538,338,†,287,251,40.25,13.37,173300005060,17
DRAKE ELEM SCHOOL,Illinois,1709930,60616,1-Regular school,2-No,2-No,2-No,333,296,†,170,163,20.00,16.65,170993000728,17
DRAUDEN POINT MIDDLE SCHOOL,Illinois,1731740,60586,1-Regular school,2-No,2-No,2-No,722,208,†,369,353,45.60,15.83,173174004935,17
DREAM ACADEMY,ILLINOIS,1708550,60110,1-Regular school,2-No,2-No,2-No,55,51,†,39,16,="0.00",†,170855006528,17
DREAM ACADEMY,Illinois,1713710,60120,1-Regular school,2-No,2-No,2-No,†,†,†,†,†,23.40,†,171371001666,17
DREAM ACADEMY,ILLINOIS,1700191,60120,4-Alternative/other school,2-No,2-No,2-No,175,136,172,90,85,="0.00",†,170019106416,17
DREXEL ELEM SCHOOL,Illinois,1710200,60804,1-Regular school,2-No,2-No,2-No,515,487,†,273,242,33.75,15.26,171020001239,17
DRUMMOND ELEM SCHOOL,Illinois,1709930,60622,1-Regular school,2-No,2-No,2-No,351,77,†,170,181,20.00,17.55,170993000729,17
DRYDEN ELEM SCHOOL,Illinois,1704140,60005,1-Regular school,2-No,2-No,2-No,502,33,†,253,249,31.96,15.71,170414000095,17
DU QUOIN  ELEMENTARY SCHOOL,Illinois,1712760,62832,1-Regular school,2-No,2-No,2-No,486,256,†,244,242,35.72,13.61,171276001535,17
DU QUOIN  MIDDLE SCHOOL,Illinois,1712760,62832,1-Regular school,2-No,2-No,2-No,437,251,†,231,206,30.00,14.57,171276001531,17
DU QUOIN HIGH SCHOOL,Illinois,1712760,62832,1-Regular school,2-No,2-No,2-No,530,274,445,282,248,36.28,14.61,171276001530,17
DUBOIS ELEM SCHOOL,Illinois,1709930,60827,1-Regular school,2-No,2-No,2-No,211,205,†,106,105,13.50,15.63,170993000731,17
DUBOIS ELEM SCHOOL,Illinois,1737080,62704,1-Regular school,2-No,2-No,2-No,422,241,†,220,202,30.00,14.07,173708003818,17
DUJARDIN ELEMENTARY SCHOOL,Illinois,1706450,60108,1-Regular school,2-No,2-No,2-No,403,41,†,212,191,29.50,13.66,170645000315,17
DULLES ELEM SCHOOL,Illinois,1709930,60637,1-Regular school,2-No,2-No,2-No,701,632,†,344,357,35.00,20.03,170993000682,17
DUNBAR ELEM SCHOOL,Illinois,1713320,62207,1-Regular school,2-No,2-No,2-No,461,432,†,232,229,27.00,17.07,171332004987,17
